행정구역별(1),행정구역별(2),year,주민1인당 생활폐기물배출량,생활폐기물발생량,주민등록인구
경기도,성남시,2012,0.8,773.5,978615
경기도,의정부시,2012,1,415.8,429147
경기도,안양시,2012,0.7,419.3,611412
경기도,부천시,2012,0.8,702.3,869944
경기도,광명시,2012,0.8,268.1,355560
경기도,평택시,2012,0.9,410.4,434305
경기도,동두천시,2012,0.8,73,97175
경기도,안산시,2012,0.7,492.4,715108
경기도,고양시,2012,0.9,845.6,969916
경기도,과천시,2012,1.1,79.5,71068
경기도,구리시,2012,1,192,192341
경기도,남양주시,2012,0.8,483.3,599539
경기도,오산시,2012,0.8,158,200291
경기도,시흥시,2012,0.8,302.4,399485
경기도,군포시,2012,1,301,286841
경기도,의왕시,2012,0.7,107.5,154757
경기도,하남시,2012,0.9,136,146269
경기도,용인시,2012,0.9,779.1,915959
경기도,파주시,2012,0.9,373.3,394201
경기도,이천시,2012,1.4,276.9,204917
경기도,안성시,2012,1.6,293.5,181608
경기도,김포시,2012,0.8,234.8,287432
경기도,화성시,2012,0.6,320,525490
경기도,광주시,2012,0.9,250.6,275656
경기도,양주시,2012,0.9,172.1,200310
경기도,포천시,2012,1.1,173.9,157559
경기도,여주시,2012,-,-,-
경기도,경기 여주군,2012,1.2,132.1,109550
경기도,연천군,2012,1.2,54,45599
경기도,가평군,2012,1,60.5,60794
경기도,양평군,2012,0.7,72.6,102193
강원도,춘천시,2012,1.7,465.6,273364
강원도,원주시,2012,1,323.2,323885
강원도,강릉시,2012,1.7,369.3,217741
강원도,동해시,2012,1.2,110.2,93897
강원도,태백시,2012,1.7,83,49493
강원도,속초시,2012,2,165.9,83579
강원도,삼척시,2012,1.4,104.3,72463
강원도,홍천군,2012,0.8,57.4,69727
강원도,횡성군,2012,1,43.1,44615
강원도,영월군,2012,1,40,40155
강원도,평창군,2012,1,44.5,43627
강원도,정선군,2012,1.2,49,39915
강원도,철원군,2012,1.4,66.2,47968
강원도,화천군,2012,1.7,42.5,25020
강원도,양구군,2012,1.5,35.3,22799
강원도,인제군,2012,2.2,70.3,32456
강원도,고성군,2012,2.4,71.1,30124
강원도,양양군,2012,1.2,34.4,27802
충청북도,충북 청주시,2012,1.1,747.7,666852
충청북도,충주시,2012,1.2,253.4,208447
충청북도,제천시,2012,0.9,121.1,137521
충청북도,청주시,2012,-,-,-
충청북도,충북 청원군,2012,1.5,229.9,154780
충청북도,보은군,2012,1.2,42.9,34438
충청북도,옥천군,2012,0.9,46.8,53244
충청북도,영동군,2012,0.7,35.1,50663
충청북도,진천군,2012,1.4,88.9,63458
충청북도,괴산군,2012,1.3,47.6,37713
