행정구역별(1),행정구역별(2),year,일반폐기물재활용률,총재활용량,생활폐기물총발생량
경기도,안양시,2012,51.7,216.9,419.3
경기도,부천시,2012,68.3,479.7,702.3
경기도,광명시,2012,48.3,129.4,268.1
경기도,평택시,2012,71.3,292.6,410.4
경기도,동두천시,2012,52.7,38.5,73.0
경기도,안산시,2012,52.4,258.2,492.4
경기도,고양시,2012,66.4,561.1,845.6
경기도,과천시,2012,35.1,27.9,79.5
경기도,구리시,2012,64.1,123.0,192.0
경기도,남양주시,2012,71.1,343.6,483.3
경기도,오산시,2012,65.1,102.9,158.0
경기도,시흥시,2012,59.5,180.0,302.4
경기도,군포시,2012,70.1,210.9,301.0
경기도,의왕시,2012,61.0,65.6,107.5
경기도,하남시,2012,62.4,84.9,136.0
경기도,용인시,2012,41.0,319.7,779.1
경기도,파주시,2012,70.9,264.8,373.3
경기도,이천시,2012,74.9,207.3,276.9
경기도,안성시,2012,74.4,218.3,293.5
경기도,김포시,2012,69.5,163.3,234.8
경기도,화성시,2012,72.5,232.0,320.0
