region,yr,life_waste,life_waste_per_pop,pop,total_recycle,total_waste,recycle_ratio,income_indivisual,corp_activated,corp_recycled_waste,corp_sales_amount,corp_total_sales,total_amount_daily,total_recycled_daily,total_cremation
서울특별시,2017,9217.299999999997,26.5,9930478,6180.2,9217.299999999997,67.05000379720745,22237,27,158578,212878,13335601,46222.40000000001,40321.80000000001,2237.8
울산광역시,2017,1509.8,6.2,1171656,823.1,1509.8,54.51715459001193,21956,232,703178,659876,98163908,13910.099999999999,10591.100000000002,462.3
인천광역시,2017,2266.3,8.600000000000001,2944009,1322.6,2266.3,58.35944049772757,17884,193,454590,710415,398306724,358882.4000000001,225123.00000000003,692.2
제주특별자치도,2017,1312.1,4.2,642388,748,1312.1,57.00785001143206,17816,65,94910,82435,26094723,14331.5,4205.2,319.4
강원도,2018,2372.3,28.400000000000002,1548078,1326.5,2372.3,55.91619946886986,18450,295,2591545,340777,58843267,15849.399999999992,14424.30000000001,449.3
경기도,2018,12406.1,31.400000000000006,12890445,7530.700000000001,12406.1,60.7015903466843,19907,1110,3421549,2272856,858208763,85173.4,73685.5,3917.1
경상남도,2018,3937.2999999999997,20.700000000000003,3379981,2258.0000000000005,3937.2999999999997,57.34894470830266,18466,859,3625411,3477903,449398930,34638.59999999999,29617.500000000007,1151
경상북도,2018,3246.2,27.999999999999996,2688747,1597.7,3246.2,49.21754666995257,18185,876,5983308,8359034,667971289,39603.799999999996,34719.59999999999,862.7
전라북도,2018,2109.4,13.2,1851694,1284.7,2109.4,60.903574476154354,18141,368,1539333,1367573,261391622,85408.40000000004,75623.09999999999,483.9
충청남도,2018,2961.8999999999996,19.2,2117685,1627.2999999999997,2961.8999999999996,54.941085114284746,18458,442,2994083,2129221,520763540,56096.899999999994,47874.399999999994,1110
충청북도,2018,2163.1000000000004,14.9,1593903,1135.1,2163.1000000000004,52.4756137025565,18440,435,2250750,928360,128393398,17824.200000000008,14666.5,612.3000000000001
광주광역시,2018,1272.3000000000002,4.7,1464037,723.9,1272.3000000000002,56.89695826456024,19868,102,109809,113834,69079287,6745.9000000000015,5895.900000000001,30
대구광역시,2018,3014.7999999999997,10.899999999999999,2474309,2292.3999999999996,3014.7999999999997,76.03821148998274,18555,215,698334,459286,183363082,13515.5,11765.100000000004,257.6
대전광역시,2018,1611.3,5.699999999999999,1501378,1156.7,1611.3,71.7867560354993,19649,51,91236,81257,14210211,8247.2,6665.400000000001,240.89999999999998
부산광역시,2018,3337.1999999999994,16.5,3467055,2827.8999999999996,3337.1999999999994,84.73870310439891,18868,112,451726,270006,58568671,20921.4,19279.000000000004,410.90000000000003
서울특별시,2018,9492.9,27.299999999999997,9851767,6456.900000000001,9492.9,68.01820307808994,23323,23,87755,76868,5964748,46543.5,40795.09999999999,2167.5
울산광역시,2018,1550.2,6.5,1164489,812.8000000000001,1550.2,52.43194426525611,21655,258,872692,377686,113076609,14192.300000000001,11023.8,491.2
인천광역시,2018,2447.9999999999995,11.700000000000001,2950771,1645.1,2707.3999999999996,60.763093743074535,18659,196,892295,879968,228136549,26880.399999999998,22355.300000000003,773.8000000000001
제주특별자치도,2018,1313.9,4.1,658167,772,1313.9,58.756374153284106,18456,48,75019,45647,18556919,4847.2,4122.099999999999,332.2
